EVENT_ID_NO_CNTY,ADMIN1,EVENT_DATE,EVENT_TYPE,Riots,Proud Boys,III%,Patriot Prayer,Oath Keepers,Boogaloo Boys,Qanon,Groypers,CAPITOL_GROUPS,NADA
23133,Washington,1/5/20,Protests,0,,14,12,,,,,III%;Patriot Prayer,
23134,Virginia,1/20/20,Protests,0,16,14,,10,,,,Oath Keepers;Proud Boys;Unidentified Communal Militia (United States);III%,
23812,Texas,1/25/20,Protests,0,16,14,,,,,,Proud Boys;Unidentified Communal Militia (United States);III%,
24315,Washington,1/31/20,Protests,0,,14,12,,,,,III%;Patriot Prayer,
22843,Utah,2/8/20,Protests,0,,,,10,8,,,Boogaloo Boys;Oath Keepers;Unidentified Communal Militia (United States),
20550,Minnesota,4/17/20,Protests,0,16,14,,10,,,,Oath Keepers;Proud Boys;III%,
20608,Washington,4/19/20,Protests,0,16,14,12,,8,6,,Boogaloo Boys;Patriot Prayer;Proud Boys;QAnon;III%,
20629,Pennsylvania,4/20/20,Protests,0,,,,,8,6,,Boogaloo Boys;QAnon;Unidentified Communal Militia (United States),
20711,Washington,4/23/20,Protests,0,16,14,,,,,,Proud Boys;III%,
18428,Washington,5/9/20,Protests,0,,14,12,,,,,III%;Patriot Prayer,
5452,Oregon,5/31/20,Protests,0,16,14,,,,,,Proud Boys;III%,
2200,North Carolina,7/11/20,Protests,0,,14,,,8,,,Boogaloo Boys;III%,
2358,Ohio,7/18/20,Protests,0,16,,,,8,,,Boogaloo Boys;Proud Boys;Unidentified Communal Militia (United States),
14871,North Carolina,7/21/20,Protests,0,16,,,,8,,,Boogaloo Boys;Proud Boys,
3560,Texas,7/25/20,Riots,20,,14,,10,,,,III%;Oath Keepers,
3490,Texas,8/1/20,Riots,20,16,14,,,8,,,Boogaloo Boys;III%;Proud Boys,
4254,California,8/14/20,Riots,20,16,14,,,,,,Proud Boys;III%,
10444,Oregon,8/22/20,Riots,20,16,,,,,6,,Proud Boys;QAnon,
11588,North Carolina,8/29/20,Protests,0,16,,,,,6,,Proud Boys;QAnon,
11610,Nevada,8/29/20,Protests,0,16,,,,8,,,Boogaloo Boys;Proud Boys,
23267,Ohio,8/29/20,Protests,0,16,,,,8,,,Boogaloo Boys;Proud Boys,
11629,Oregon,8/29/20,Riots,20,16,14,,,,,,Patriot Prayer;Proud Boys;III%,
13278,Kentucky,9/23/20,Riots,20,,,,10,,,,Oath Keepers,
13380,Kentucky,9/24/20,Riots,20,,,,10,,,,Oath Keepers,
14262,Oregon,10/3/20,Protests,0,,14,12,,,6,,III%;Patriot Prayer;QAnon,
19513,Washington,10/18/20,Protests,0,,14,12,,,,,III%;Patriot Prayer,
16522,Connecticut,11/1/20,Protests,0,,,,10,,,,Oath Keepers,
16774,Arizona,11/4/20,Protests,0,,14,,,,6,,QAnon;III%,
16837,Arizona,11/5/20,Protests,0,,,,,8,6,,Boogaloo Boys;QAnon,
16876,Arizona,11/6/20,Protests,0,16,,,,8,,,Boogaloo Boys;Proud Boys,
17181,Nevada,11/7/20,Protests,0,16,,,,,6,,Proud Boys;QAnon,
16968,Arizona,11/7/20,Protests,0,16,14,,,8,6,,Boogaloo Boys;Proud Boys;QAnon;III%,
17366,Virginia,11/12/20,Protests,0,,,,,8,,,Boogaloo Boys;Oath Keepers;Unidentified Communal Militia (United States),
17883,Nevada,11/14/20,Protests,0,,14,,,8,6,,Boogaloo Boys;QAnon;III%,
17457,District of Columbia,11/14/20,Riots,20,16,14,,10,8,6,,Boogaloo Boys;Oath Keepers;Proud Boys;QAnon;III%,
17459,District of Columbia,11/14/20,Protests,0,16,14,,10,8,6,,Boogaloo Boys;Oath Keepers;Proud Boys;QAnon;III%,
17460,District of Columbia,11/14/20,Riots,20,16,14,,10,8,6,,Boogaloo Boys;Oath Keepers;Proud Boys;QAnon;III%,
17654,Georgia,11/18/20,Protests,0,16,14,,,,6,4,Groypers;III%;Proud Boys;QAnon,
17683,Georgia,11/19/20,Protests,0,16,14,,,,,4,Groypers;III%;Proud Boys,
17728,Georgia,11/20/20,Protests,0,16,14,,,,,4,Groypers;III%;Proud Boys,
17758,Georgia,11/21/20,Protests,0,16,14,,10,,,4,Groypers;III%;Oath Keepers;Proud Boys,
17806,Wisconsin,11/21/20,Protests,0,16,14,,,,,,III%;Proud Boys,
18069,Oregon,11/28/20,Protests,0,16,14,,,,,,Patriot Prayer;Proud Boys;III%,
19083,Minnesota,12/5/20,Riots,20,16,14,,,,,,Proud Boys;III%,
19332,District of Columbia,12/11/20,Protests,0,16,14,,,,,,Proud Boys;III%,
19384,District of Columbia,12/12/20,Protests,0,16,,,,,6,4,Groypers;Proud Boys;QAnon;White Nationalists (United States);III%,
19759,New York,12/19/20,Riots,20,16,14,,,,,,III%;Proud Boys,
19767,New Jersey,12/19/20,Protests,0,16,,,10,,,,Oath Keepers;Proud Boys,
20007,Oregon,1/1/21,Riots,20,16,,12,,,,,Patriot Prayer;Proud Boys;Unidentified Communal Militia (United States),
20232,California,1/6/21,Riots,20,16,14,,,,,,Proud Boys;Unidentified Communal Militia (United States);III%,
20234,Oregon,1/6/21,Riots,20,16,,12,,,,,Patriot Prayer;Proud Boys,
20251,District of Columbia,1/6/21,Riots,25,16,14,,10,8,6,4,Boogaloo Boys;Groypers;NSC-13;Oath Keepers;Proud Boys;QAnon;Sons of Liberty;III%,
20142,Georgia,1/6/21,Protests,0,,14,,,,,,American Patriots USA;III%;KKK: Ku Klux Klan;White Nationalists (United States),
20168,Colorado,1/6/21,Protests,0,16,14,,,,6,,Proud Boys;QAnon;III%,
21063,Oregon,1/9/21,Riots,20,16,,,,,6,,Proud Boys;QAnon,
21094,California,1/9/21,Riots,20,16,14,,,,,,Proud Boys;III%,
21112,Washington,1/9/21,Protests,0,,14,,,,6,,III%;QAnon,
21873,Florida,1/17/21,Protests,0,,14,,,8,,,Boogaloo Boys;III%,
21927,Virginia,1/18/21,Protests,0,16,,,,8,,,Boogaloo Boys;Proud Boys;Sons of Liberty;Unidentified Communal Militia (United States),
25349,Georgia,2/20/21,Protests,0, ,14,,,8,,,Boogaloo Boys;III%,
25434,Washington,2/23/21,Protests,0,16,,12,,,,,Patriot Prayer;Proud Boys,
25721,Florida,2/28/21,Protests,0,16,,,,,6,,Proud Boys;QAnon,
26484,California,3/14/21,Protests,0,16,14,,,,,,Proud Boys;III%,
27088,Texas,3/26/21,Protests,0,,,,10,,,,Oath Keepers,